id,stage,beta_mid_deg,earth_view_mid_deg,inc_deg,alt_mean_km,period_s,revolutions,duration_h,eclipse_fraction,n_eclipses,mean_eclipse_duration_s,srp_rtn_share_R,srp_rtn_share_T,srp_rtn_share_N,n_passes,n_obs,f_perp,theta_k_deg,conditional_k_information,k_column_norm,sigma_k_frac,max_abs_k_state_correlation,weakest_mode_k_component,smallest_design_sv,matched_n_obs,matched_f_perp,matched_sigma_k_frac,delta_f_perp_full,class_full,class_matched,beta_target,normalization,k_srp,shadow_model,stations,epoch_offset_days
G3_i26.7_b00,G3,0.5615584878342892,98.97059995706208,26.70000000000001,99.72120900804816,7068.449451451094,14.99789978170563,29.44774902358768,0.39525021204410515,16,2621.25,0.43982394960064386,0.5523918091963912,0.007784241202964791,25,950,0.09184799131605781,5.269929614870644,121584.4140992011,3796.3766213383756,0.2867880472448347,0.8073934032586221,0.9999999998647168,3.4868956690199995,950,0.09184799131605781,0.2867880472448347,0.00034043674294764736,MAGNITUDE_ONLY,MAGNITUDE_ONLY,0.0,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G3_i26.7_bcan,G3,21.45204271918657,110.81255749176258,26.699999999999996,99.72140268080344,7068.44945145109,14.99789978170564,29.44774902358768,0.38676844783715014,15,2736.0,0.33578112801739407,0.42535175406282705,0.2388671179197789,21,957,0.2814020725638323,16.34390261073356,124705.98186472052,1254.9208971536689,0.2831759439942408,0.6748438639955292,0.9999999999360908,3.531373413401347,950,0.28180449024000565,0.2842376167473916,0.18989451799072216,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,21.8,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G3_i45.0_b00,G3,0.7880428560538429,101.68634738123784,45.0,99.79585700896828,7068.449451451094,14.99789978170563,29.44774902358768,0.39525021204410515,16,2621.25,0.43848172609082525,0.5506292301348155,0.01088904377435936,25,953,0.0832588608311318,4.775910007060104,94346.40982894124,3689.2002111571474,0.32556470088880246,0.827946561897792,0.9999999999378117,3.071586069398122,950,0.08318282155757602,0.3259682062133683,-0.008248693741978355,MAGNITUDE_ONLY,MAGNITUDE_ONLY,0.0,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G3_i45.0_bcan,G3,21.072865769455685,105.41161775919714,45.00000000000001,99.79610174051452,7068.449451451094,14.99789978170563,29.44774902358768,0.3850720949957591,15,2724.0,0.3376623780466844,0.4269809407176594,0.23535668123565617,22,960,0.15558869595792532,8.950940274302875,127920.24097411093,2298.7492131160866,0.27959562120855025,0.5081058389399947,0.9999999999134547,3.5765939237208406,950,0.15564413032121968,0.28015488724657256,0.06408114138481516,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,21.8,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G3_i60.0_b00,G3,0.83370789650637,102.95941811149052,59.99999999999999,99.8584666981353,7068.449451451086,14.997899781705648,29.44774902358768,0.39525021204410515,16,2621.25,0.43823181803654615,0.5502559949832011,0.011512186980252703,25,954,0.07659416757539847,4.392824905041794,76290.67374956758,3606.1187544614836,0.36204643451267965,0.7778778380143297,0.9999999999792707,2.762076641702844,950,0.07665752311424319,0.36292135226584293,-0.014913386997711692,MAGNITUDE_ONLY,MAGNITUDE_ONLY,0.0,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G3_i60.0_bcan,G3,20.986163312313156,102.39765881830273,59.99999999999999,99.85872104939008,7068.44945145109,14.99789978170564,29.44774902358768,0.38676844783715014,15,2736.0,0.33823617322055277,0.4271497294914375,0.2346140972880099,22,959,0.13480379626881542,7.7472745345061735,112031.74848029402,2482.9526310232495,0.29876481011670597,0.340394770417034,0.9999999999520056,3.347114406015144,950,0.1349038180396552,0.29944769039903635,0.043296241695705256,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,21.8,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G3_i90.0_b00,G3,0.5951684921745102,102.63053932116978,90.0,99.9210846991864,7068.449451451094,14.99789978170563,29.44774902358768,0.39525021204410515,16,2621.25,0.4396943149271492,0.5520607773542593,0.00824490771859147,25,955,0.07841831335514571,4.4976561205284735,76205.43133588006,3520.2658751190515,0.3622488681571655,0.7307272453765661,0.9999999999870195,2.7605331248492937,950,0.07806445456259872,0.3640759279074248,-0.013089241217964454,MAGNITUDE_ONLY,MAGNITUDE_ONLY,0.0,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G3_i90.0_bcan,G3,21.204830494375056,99.1311523528798,90.0,99.9213441103428,7068.449451451087,14.997899781705645,29.44774902358768,0.38676844783715014,15,2736.0,0.33720578725082473,0.42607270352531623,0.236721509223859,22,957,0.1057076789117568,6.0679404910501855,69060.3968733184,2486.039347130839,0.380526989369249,0.4641196234223417,0.999999999968616,2.6279344906025934,950,0.1056000389624401,0.38229690471935934,0.014200124338646633,MAGNITUDE_ONLY,MAGNITUDE_ONLY,21.8,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G3_i120.0_b00,G3,0.1971438382585908,98.88590228966376,119.99999999999999,99.85846676032116,7068.449451451094,14.99789978170563,29.44774902358768,0.39525021204410515,16,2621.25,0.44234446409828687,0.5549081556541692,0.0027473802475439686,25,955,0.09795555303210074,5.621454244754945,122107.03717587839,3567.3135702216537,0.28617365689305974,0.6772976813142519,0.9999999999114233,3.4943817357902835,950,0.09764118462238419,0.28750785615789787,0.006447998458990578,MAGNITUDE_ONLY,MAGNITUDE_ONLY,0.0,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G3_i120.0_bcan,G3,21.609877087334766,99.58971302540023,119.99999999999999,99.85872245044938,7068.449451451092,14.997899781705636,29.44774902358768,0.3816793893129771,15,2700.0,0.3352581809799773,0.4242925037757122,0.24044931524431054,22,955,0.11362693676542097,6.524435203032988,68156.34131899514,2297.5863147334153,0.38304241372849396,0.5221479987868919,0.9999999999806389,2.610676948922564,950,0.1139313345753754,0.38448618377847055,0.022119382192310813,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,21.8,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
